Sta #,VA Facility Location,ZIP 3,PBN
629GC,"SLIDELL CBOC, LA",704,2
629GD,"LAPLACE, LA",700,2
630,"NEW YORK, NY",100,1
630A4,"BROOKLYN, NY",112,1
630A5,"SAINT ALBANS, NY",114,1
630BZ,"NEW YORK METHADONE, NY",100,2
630GA,"HARLEM, NY",100,2
630GB,"STATEN ISLAND, NY",103,2
630GC,"BROOKLYN CHAPEL STREET, NY",112,2
631,"NORTHAMPTON, MA",010,1
631BY,"SPRINGFIELD SOC, MA",011,2
631GA,"NORTHAMPTON CBOC, MA",010,2
631GB,"SPRINGFIELD CBOC, MA",011,2
631GC,"PITTSFIELD, MA",012,2
631GD,"GREENFIELD, MA",013,2
632,"NORTHPORT/LONG ISLAND, NY",117,1
632GA,"PLAINVIEW, NY",118,2
632HA,"LYNBROOK, NY",115,2
632HB,"RIVERHEAD, NY",119,3
632HC,"ISLIP, NY",117,2
632HD,"PATCHOGUE, NY",117,2
632HE,"MOUNT SINAI, NY",117,2
632HF,"LINDENHURST, NY",117,2
635,"OKLAHOMA CITY, OK",731,1
635DZ,"LAWTON/FORT SILL, OK",735,1
635GA,"LAWTON/FORT SILL, OK",735,3
635GB,"WICHITA FALLS, TX",763,3
635GC,"PONCA CITY, OK",746,3
635GD,"KONAWA, OK",748,3
635HB,"ARDMORE, OK",734,3
636,"OMAHA, NE",681,1
636A4,"GRAND ISLAND, NE",688,1
636A5,"LINCOLN, NE",685,1
636A6,"DES MOINES, IA",503,1
636A7,"KNOXVILLE, IA",501,1
636A8,"IOWA CITY, IA",522,1
636GA,"NORFOLK, NE",687,3
636GB,"NORTH PLATTE, NE",691,3
636GC,"MASON CITY, IA",504,3
636GF,"BETTENDORF, IA",527,3
636GG,"QUINCY, IL",623,3
636GH,"WATERLOO, IA",507,3
636GI,"GALESBURG, IL",614,3
636GJ,"DUBUQUE, IA",520,3
636GK,"FORT DODGE, IA",505,3
637,"ASHEVILLE, NC",288,1
640,"PALO ALTO, CA",943,1
640A0,"MENLO PARK, CA",940,1
640A4,"LIVERMORE, CA",945,1
640BY,"SAN JOSE, CA",951,2
640GA,"CAPITOLA, CA",950,2
640GB,"SONORA, CA",953,3
640HA,"STOCKTON, CA",952,3
640HB,"MODESTO, CA",953,3
640HC,"MONTEREY/FORT ORD, CA",939,3
642,"PHILADELPHIA, PA",191,1
642GA,"FORT DIX, NJ",086,2
642GB,"CAPE MAY, NJ",082,3
642GC,"WILLOW GROVE, PA",190,2
642GD,"GLOUCESTER, NJ",080,2
644,"PHOENIX, AZ",850,1
644BY,"MESA/WILLIAMS AFB, AZ",852,2
644GA,"SUN CITY, AZ",853,2
644GB,"SHOW LOW, AZ",859,3
644GC,"BUCKEYE, AZ",853,3
644GD,"PAYSON, AZ",855,3
646,"PITTSBURGH UNIV DR, PA",152,1
646A4,"VA HCS - HEINZ DIVISION, PA",152,1
646A5,"PITTSBURGH HIGHLAND DR, PA",152,1
646GA,"SAINT CLAIRSVILLE, OH",439,3
646GB,"GREENSBURG, PA",156,2
646GC,"ALIQUIPPA, PA",150,2
646GD,"WASHINGTON, PA",153,2
646GE,"UNIONTOWN, PA",154,3
648,"PORTLAND, OR",972,1
648A4,"VANCOUVER, WA",986,1
648GA,"BEND, OR",977,3
648GB,"SALEM, OR",973,3
648GD,"NORTH COAST, OR",971,3
649,"PRESCOTT, AZ",863,1
649GA,"KINGMAN, AZ",864,3
649GB,"BELLEMONT, AZ",860,3
649GC,"LAKE HAVASU CITY, AZ",864,3
649GD,"ANTHEM, AZ",850,3
649GE,"COTTONWOOD, AZ",863,2
650,"PROVIDENCE, RI",029,1
650GA,"NEW BEDFORD, MA",027,2
650GB,"HYANNIS, MA",026,3
650GC,"OAK BLUFFS, MA",025,3
650GD,"MIDDLETOWN, RI",028,2
650GE,"NANTUCKET, MA",025,3
652,"RICHMOND, VA",232,1
652GA,"FREDERICKSBURG, VA",224,3
653,"ROSEBURG, OR",974,1
653BY,"EUGENE, OR",974,3
653GA,"BANDON, OR",974,3
653GB,"BROOKINGS, OR",974,3
654,"RENO, NV",895,1
654GA,"AUBURN, CA",956,3
654GB,"MINDEN, NV",894,2
655,"SAGINAW, MI",486,1
655GA,"GAYLORD, MI",497,3
655GB,"TRAVERSE CITY, MI",496,3
655GC,"OSCODA, MI",487,3
656,"SAINT CLOUD, MN",563,1
656GA,"BRAINERD, MN",564,3
656GB,"MONTEVIDEO, MN",562,3
657,"SAINT LOUIS JOHN COCHRAN, MO",631,1
657A0,"SAINT LOUIS JEFF BARRACKS, MO",631,1
657A4,"POPLAR BLUFF, MO",639,1
657A5,"MARION, IL",629,1
657DP,"MARION NON-VA HOSPITALS, IL",629,1
657DS,"ST. LOUIS NON-VA HOSPITAL, IL",631,1
657GA,"BELLEVILLE, IL",622,2
657GB,"SAINT LOUIS CBOC, MO",631,2
657GD,"SAINT CHARLES, MO",633,2
657GE,"SPRINGFIELD, IL",627,3
657GF,"WEST PLAINS, MO",657,3
657GG,"PARAGOULD, AR",724,3
657GH,"CAPE GIRARDEAU, MO",637,3
657GI,"FARMINGTON, MO",636,3
657GJ,"EVANSVILLE, IN",477,3
